Sample	Acidaminococcaceae	Actinomycetaceae	Aeromonadaceae	Akkermansiaceae	Alcaligenaceae	Atopobiaceae	Bacillaceae	Bacillales_unclassified	Bacteroidaceae	Barnesiellaceae	Bifidobacteriaceae	Campylobacteraceae	Carnobacteriaceae	Catabacteriaceae	Christensenellaceae	Clostridiaceae	Clostridiales_Family_XIII_Incertae_Sedis	Clostridiales_unclassified	Coriobacteriaceae	Corynebacteriaceae	Corynebacteriales_unclassified	Debaryomycetaceae	Dermabacteraceae	Desulfovibrionaceae	Dysgonamonadaceae	Eggerthellaceae	Enterobacterales_unclassified	Enterobacteriaceae	Enterococcaceae	Erwiniaceae	Erysipelotrichaceae	Eubacteriaceae	Firmicutes_unclassified	Fusobacteriaceae	Hafniaceae	Lachnospiraceae	Lactobacillaceae	Leuconostocaceae	Malasseziaceae	Micrococcaceae	Moraxellaceae	Morganellaceae	Mycoplasmataceae	Neisseriaceae	Odoribacteraceae	Oscillospiraceae	Paenibacillaceae	Pasteurellaceae	Peptococcaceae	Peptoniphilaceae	Peptostreptococcaceae	Porphyromonadaceae	Prevotellaceae	Propionibacteriaceae	Proteobacteria_unclassified	Pseudomonadaceae	Rikenellaceae	Ruminococcaceae	Saccharomycetaceae	Selenomonadaceae	Sphingobacteriaceae	Staphylococcaceae	Streptococcaceae	Sutterellaceae	Tannerellaceae	Veillonellaceae	Xanthomonadaceae	Yersiniaceae
SRR3131722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98.10533	1.53689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14738	0	0
SRR3131724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.29691	0	0	0	0	52.77092	43.06311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.86906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR3131726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92.68477	7.2922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02302	0	0	0	0	0
SRR3131728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.5853	5.35547	0	0	0	0	0	0	0	0	0	0	0	0	68.02219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00312	0.03392	0	0	0	0	0
SRR3131730	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74.98514	22.91098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01447	0.0838	0	0	2.00561	0	0
SRR3131732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94.56977	4.65876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.67039	0	0
SRR3131734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.61283	0	0	0	0	0	0	0	0	0	0	0	26.2955	25.19701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.82852	0	0	0	0	0	0	0	0	0	0	0	0.06614	0	0	0	0	0
SRR3131736	0	0	0	0	0	0	0	0	25.71679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73.20413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.07908
SRR3131738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11836	0	0	0	0	0	0	0	0	0	0	0	29.67512	48.96183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.29753	0	0	0	0	0	0	0	0	0	0	0	19.94716	0	0
SRR3131740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81.0648	11.07955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.85565	0	0
